Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man City,38,29,6,3,99:26,73,93,1,Manchester City,38,27,5,6,2.26,83:32,525,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Liverpool,38,28,8,2,94:26,68,92,2,Liverpool FC,38,20,9,9,1.82,68:42,566,30.00,25.90,27.00,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.83,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Chelsea,38,21,11,6,76:33,43,74,3,Chelsea FC,38,19,10,9,1.76,58:36,295,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Tottenham,38,22,5,11,69:40,29,71,4,Tottenham Hotspur,38,18,8,12,1.63,68:45,632,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Arsenal,38,22,3,13,61:48,13,69,5,Arsenal FC,38,18,7,13,1.61,55:39,539,27.00,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.11,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.51 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Man Utd,38,16,10,12,57:57,0,58,6,Manchester United,38,21,11,6,1.95,73:44,316,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
West Ham,38,16,8,14,60:51,9,56,7,West Ham United,38,19,8,11,1.71,62:47,457,34.00,28.75,27.67,€8.90m,€108.10m,€116.00m,€4.45m,€13.51m,€19.33m,28.04,€441.80m,€19.21m,€21.55m,€194.00m,€-172.45m,€194.00m,25.0,€157.00m,€21.55m,28.8,€61.75m,David Moyes,60,3.23 Years,57,27,8,22,89,1.56,8,1.2075,1051,€47k
Leicester,38,14,10,14,62:59,3,52,8,Leicester City,38,20,6,12,1.74,68:50,400,29.33,27.08,26.33,€11.50m,€147.80m,€99.30m,€3.83m,€12.32m,€16.55m,27.17,€429.10m,€14.30m,€81.40m,€48.00m,+€33.40m,€48.00m,25.5,€67.40m,€81.40m,27.7,€67.85m,Dean Smith,52,2.44 Years,34,13,8,13,47,1.38,6,1.0666666666666667,605,€137k
Brighton,38,12,15,11,42:44,-2,51,9,Brighton & Hove Albion,38,9,14,15,1.08,40:46,578,26.67,25.86,24.57,€26.60m,€100.70m,€127.00m,€8.87m,€14.39m,€18.14m,24.85,€448.90m,€16.63m,€137.90m,€55.73m,+€82.17m,€55.73m,21.8,€105.50m,€137.90m,23.5,€204.70m,Roberto De Zerbi,44,1.21 Years,39,19,7,13,64,1.64,7,1.1642857142857141,321,0
Wolves,38,15,6,17,38:43,-5,51,10,Wolverhampton Wanderers,38,12,9,17,1.18,36:52,212,26.25,25.11,27.30,€22.20m,€119.50m,€134.00m,€5.55m,€13.28m,€13.40m,25.90,€400.20m,€12.91m,€62.87m,€177.11m,€-114.24m,€177.11m,23.8,€260.10m,€62.87m,24.5,€207.40m,Julen Lopetegui,56,1.73 Years,37,11,8,18,41,1.11,13,1.4307692307692308,394,0
Newcastle,38,13,10,15,44:62,-18,49,11,Newcastle United,38,12,9,17,1.18,46:62,316,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k
Crystal Palace,38,11,15,12,50:46,4,48,12,Crystal Palace,38,12,8,18,1.16,41:66,487,28.50,27.00,24.43,€8.25m,€102.20m,€91.00m,€2.06m,€12.78m,€13.00m,26.67,€303.85m,€11.25m,€5.46m,€46.60m,€-41.15m,€46.60m,21.9,€61.50m,€5.46m,25.8,€32.80m,Roy Hodgson,75,1.80 Years,10,5,3,2,18,1.80,24,1.3995833333333334,856,0
Brentford,38,13,7,18,48:56,-8,46,13,Brentford FC,46,24,15,7,1.89,79:42,130,24.50,27.00,23.88,€34.30m,€95.90m,€141.80m,€8.58m,€9.59m,€17.73m,25.62,€359.00m,€12.38m,€3.60m,€51.50m,€-47.90m,€51.50m,23.4,€82.85m,€3.60m,24.9,€61.15m,Thomas Frank,49,2.32 Years,41,16,14,11,62,1.51,9,0.8022222222222223,349,0
Aston Villa,38,13,6,19,52:54,-2,45,14,Aston Villa,38,16,7,15,1.45,55:46,263,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0
Southampton,38,9,13,16,43:67,-24,40,15,Southampton FC,38,12,7,19,1.13,47:68,421,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18,0
Everton,38,11,6,21,43:66,-23,39,16,Everton FC,38,17,8,13,1.55,47:48,528,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Leeds,38,9,11,18,42:79,-37,38,17,Leeds United,38,18,5,15,1.55,62:54,263,26.00,25.36,24.09,€22.80m,€89.30m,€133.90m,€7.60m,€8.12m,€12.17m,24.78,€325.20m,€10.16m,€114.50m,€145.59m,€-31.09m,€145.59m,23.8,€194.90m,€114.50m,24.4,€163.70m,Sam Allardyce,68,1.59 Years,4,0,1,3,1,0.25,18,0.8122222222222223,829,€298k
Burnley,38,7,14,17,34:53,-19,35,18,Burnley FC,38,10,9,19,1.03,33:55,226,24.75,25.11,26.25,€13.60m,€48.40m,€33.70m,€3.40m,€5.38m,€4.21m,25.81,€132.30m,€5.09m,€76.46m,€43.20m,+€33.26m,€43.20m,22.6,€70.73m,€76.46m,26.8,€165.35m,Vincent Kompany,37,1.42 Years,54,34,15,5,117,2.17,3,1.6900000000000002,149,€19.00m
Watford,38,6,5,27,34:77,-43,23,19,Watford FC,46,27,10,9,1.98,63:30,129,28.67,27.78,23.88,€4.70m,€18.90m,€69.30m,€1.57m,€2.10m,€8.66m,26.27,€128.90m,€4.30m,€60.83m,€18.81m,+€42.02m,€18.81m,24.7,€66.65m,€60.83m,27.0,€93.80m,Chris Wilder,55,2.86 Years,23,5,7,11,22,0.96,9,0.81,595,€420k
Norwich,38,5,7,26,23:84,-61,22,20,Norwich City,46,29,10,7,2.11,75:36,217,30.50,25.50,25.13,€3.45m,€34.00m,€24.90m,€863k,€4.25m,€3.11m,25.70,€87.35m,€3.24m,€4.07m,€14.40m,€-10.33m,€14.40m,22.9,€44.35m,€4.07m,24.1,€79.35m,David Wagner,51,1.70 Years,21,7,5,9,26,1.24,7,1.3242857142857143,471,0
